==25585== NVPROF is profiling process 25585, command: /home/aaron/miniconda3/envs/envRDkit/bin/python -m ipykernel_launcher -f /home/aaron/.local/share/jupyter/runtime/kernel-49e6b545-dbd0-4cce-8ede-4f0ea2f51625.json
==25585== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==25585== Profiling application: /home/aaron/miniconda3/envs/envRDkit/bin/python -m ipykernel_launcher -f /home/aaron/.local/share/jupyter/runtime/kernel-49e6b545-dbd0-4cce-8ede-4f0ea2f51625.json
==25585== Profiling result:
==25585== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "GeForce GTX TITAN X (0)"
    Kernel: void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1)
          8                             sm_efficiency                                               Multiprocessor Activity       1.02%       1.28%       1.14%
          8                        achieved_occupancy                                                    Achieved Occupancy    0.329754    0.334713    0.331204
          8                                       ipc                                                          Executed IPC    0.181004    0.249178    0.209374
          8                                issued_ipc                                                            Issued IPC    0.233354    0.305648    0.275384
          8                             inst_per_warp                                                 Instructions per warp    9.468750    9.468750    9.468750
          8                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          8                 warp_execution_efficiency                                             Warp Execution Efficiency      95.19%      95.21%      95.20%
          8         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      95.17%      95.19%      95.19%
          8                      inst_replay_overhead                                           Instruction Replay Overhead    0.214521    0.214521    0.214521
          8                    issue_slot_utilization                                                Issue Slot Utilization       5.83%       7.64%       6.88%
          8      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          8     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          8       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          8      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          8              gst_transactions_per_request                                 Global Store Transactions Per Request    1.000000    1.000000    1.000000
          8                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          8                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          8                   local_load_transactions                                               Local Load Transactions           0           0           0
          8                  local_store_transactions                                              Local Store Transactions           0           0           0
          8                          gst_transactions                                             Global Store Transactions           1           1           1
          8                    dram_read_transactions                                       Device Memory Read Transactions          13          29          19
          8                   dram_write_transactions                                      Device Memory Write Transactions          44          60          54
          8                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          8                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          8                  gld_requested_throughput                                      Requested Global Load Throughput  325.74KB/s  326.83KB/s  326.02KB/s
          8                  gst_requested_throughput                                     Requested Global Store Throughput  325.74KB/s  326.83KB/s  326.02KB/s
          8                            gld_throughput                                                Global Load Throughput  10.179MB/s  10.213MB/s  10.198MB/s
          8                            gst_throughput                                               Global Store Throughput  10.179MB/s  10.213MB/s  10.198MB/s
          8                      dram_read_throughput                                         Device Memory Read Throughput  132.33MB/s  295.89MB/s  193.77MB/s
          8                     dram_write_throughput                                        Device Memory Write Throughput  447.89MB/s  612.19MB/s  550.72MB/s
          8                      tex_cache_throughput                                              Unified Cache Throughput  10.179MB/s  10.213MB/s  10.198MB/s
          8                     local_load_throughput                                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          8                    local_store_throughput                                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          8                    shared_load_throughput                                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          8                   shared_store_throughput                                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          8                            gld_efficiency                                         Global Memory Load Efficiency       3.12%       3.12%       3.12%
          8                            gst_efficiency                                        Global Memory Store Efficiency       3.12%       3.12%       3.12%
          8                    tex_cache_transactions                                            Unified Cache Transactions           1           1           1
          8                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          8                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          8                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          8           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          8                    special_fu_utilization                                     Special Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          8           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          8                             flop_count_dp                           Floating Point Operations(Double Precision)           0           0           0
          8                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)           0           0           0
          8                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          8                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)           0           0           0
          8                             flop_count_sp                           Floating Point Operations(Single Precision)           0           0           0
          8                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)           0           0           0
          8                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)           0           0           0
          8                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)           0           0           0
          8                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)           0           0           0
          8                             inst_executed                                                 Instructions Executed         303         303         303
          8                               inst_issued                                                   Instructions Issued         368         368         368
          8                          dram_utilization                                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
          8                           tex_utilization                                             Unified Cache Utilization     Low (1)     Low (1)     Low (1)
          8                         shared_efficiency                                              Shared Memory Efficiency       0.00%       0.00%       0.00%
          8                        shared_utilization                                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          8                                inst_fp_32                                               FP Instructions(Single)           0           0           0
          8                                inst_fp_64                                               FP Instructions(Double)           0           0           0
          8                              inst_integer                                                  Integer Instructions        4106        4106        4106
          8                          inst_bit_convert                                              Bit-Convert Instructions           0           0           0
          8                              inst_control                                             Control-Flow Instructions        1024        1024        1024
          8                        inst_compute_ld_st                                               Load/Store Instructions           2           2           2
          8                                 inst_misc                                                     Misc Instructions        4097        4097        4097
